date,npm_weekly,npm_total,pypi_weekly,stars_total,stars_js
2026-02-26,npm_weekly=332,npm_total=332,pypi_weekly=91,stars_total=0,stars_js=0
2026-02-26,npm_weekly=332,npm_total=332,pypi_weekly=91,stars_total=0,stars_js=0
